model,general,male,female,under18,18-24,25-34,35-44,45-49,50-55,over56,diferencia_genero,PROMEDIO
Pop,0.4919,0.5232,0.4069,0.3677,0.5266,0.5583,0.4821,0.4497,0.3757,0.3045,0.1163,0.4378
BPR,0.1747,0.1978,0.1521,0.1789,0.1541,0.2112,0.1907,0.1228,0.1316,0.1604,0.0457,0.1642
NGCF,0.1423,0.1351,0.1327,0.1155,0.1188,0.1498,0.1373,0.1124,0.1322,0.1083,0.0024,0.1249
NGCF-Var@0.1,0.1785,0.1448,0.1383,0.1397,0.1476,0.1428,0.1368,0.1426,0.1437,0.1168,0.0066,0.1386
NGCF-Var@10,0.1428,0.1425,0.1367,0.1479,0.1676,0.1413,0.1474,0.1314,0.1357,0.1847,0.0058,0.1509
NGCF-Var@50,0.1585,0.1427,0.1350,0.1326,0.1084,0.1686,0.1234,0.1482,0.1182,0.1157,0.0077,0.1307
NGCF-Var@100,0.1461,0.1026,0.1666,0.1623,0.1230,0.1335,0.1557,0.1100,0.1126,0.1287,-0.0640,0.1322
