model,general,male,female,under18,18-24,25-34,35-44,45-49,50-55,over56,diferencia_genero
Pop,0.4720,0.5023,0.3876,0.3480,0.5063,0.5384,0.4733,0.4275,0.3756,0.2613,0.1147
BPR,0.1707,0.1959,0.1506,0.1840,0.1505,0.2079,0.1905,0.1078,0.1195,0.1452,0.0453
NGCF,0.0365,0.0346,0.0350,0.0278,0.0331,0.0345,0.0319,0.0309,0.0334,0.0291,-0.0004
NGCF-Var@0.1,0.0424,0.0365,0.0360,0.0345,0.0351,0.0383,0.0349,0.0367,0.0360,0.0305,0.0005
NGCF-Var@10,0.03467,0.03445,0.03482,0.03857,0.03922,0.03559,0.03543,0.03273,0.03521,0.04357,
NGCF-Var@50,0.03991,0.03376,0.03517,0.03408,0.02518,0.0386,0.03199,0.03745,0.0326,0.02546,
NGCF-Var@100,0.03439,0.02519,0.03388,0.03587,0.03134,0.03554,0.034,0.02727,0.02716,0.02703,
