model,general,male,female,under18,18-24,25-34,35-44,45-49,50-55,over56,diferencia_genero
Pop,6.6851E-05,6.4677E-05,7.5063E-05,4.7999E-05,5.3672E-05,6.9494E-05,5.6512E-05,7.5668E-05,6.9997E-05,5.9537E-05,-1.0386E-05
BPR,2.3819E-03,1.9783E-03,1.9783E-03,9.0420E-04,1.2803E-03,2.0095E-03,1.2251E-03,1.6314E-03,1.1780E-03,1.0130E-03,0.0000E+00
NGCF,3.0500E-03,2.5800E-03,2.6100E-03,2.1200E-03,2.5000E-03,1.2800E-03,2.3900E-03,2.4000E-03,2.4800E-03,2.2400E-03,-3.0000E-05
NGCF-Var@0.1,3.2700E-03,2.6000E-03,2.6700E-03,2.5100E-03,2.5700E-03,2.6000E-03,2.6200E-03,2.7800E-03,2.6800E-03,2.3600E-03,-7.0000E-05
NGCF-Var@10,0.00245,0.00258,0.00256,0.00264,0.00273,0.00275,0.00257,0.00245,0.00255,0.00293,
NGCF-Var@50,0.0026,0.00221,0.00257,0.00252,0.00196,0.0028,0.0024,0.0027,0.00247,0.00201,
NGCF-Var@100,0.00196,0.0022,0.00248,0.00258,0.00235,0.00187,0.00253,0.0021,0.00207,0.00214,
